Date,Rank,Name,Symbol,Market Cap,Price
2023/05/28,9,"Polygon","MATIC","$8,740,222,969.48","$0.9419"
2023/05/28,10,"Solana","SOL","$8,243,146,765.86","$20.80"
2023/06/04,1,"Bitcoin","BTC","$525,920,232,790.70","$27,119.07"
2023/06/04,2,"Ethereum","ETH","$227,308,028,004.55","$1,890.51"
2023/06/04,3,"Tether","USDT","$83,165,013,521.21","$1.0002"
2023/06/04,4,"BNB","BNB","$47,560,448,780.60","$305.16"
2023/06/04,5,"USD Coin","USDC","$28,902,262,332.86","$0.9998"
2023/06/04,6,"XRP","XRP","$27,860,418,486.43","$0.5359"
2023/06/04,7,"Cardano","ADA","$13,179,267,542.18","$0.3777"
2023/06/04,8,"Dogecoin","DOGE","$10,119,376,913.16","$0.07247"
2023/06/04,9,"Solana","SOL","$8,661,446,017.18","$21.82"
2023/06/04,10,"Polygon","MATIC","$8,289,867,862.57","$0.8934"
2023/06/11,1,"Bitcoin","BTC","$503,230,985,845.04","$25,940.17"
2023/06/11,2,"Ethereum","ETH","$210,808,348,254.20","$1,753.42"
2023/06/11,3,"Tether","USDT","$83,387,764,365.55","$1.0003"
2023/06/11,4,"BNB","BNB","$36,694,210,385.52","$235.44"
2023/06/11,5,"USD Coin","USDC","$28,380,686,460.78","$0.9999"
2023/06/11,6,"XRP","XRP","$27,096,702,674.57","$0.5212"
2023/06/11,7,"Cardano","ADA","$9,515,862,809.56","$0.2726"
2023/06/11,8,"Dogecoin","DOGE","$8,605,500,509.66","$0.06159"
2023/06/11,9,"TRON","TRX","$6,323,858,325.69","$0.07018"
2023/06/11,10,"Solana","SOL","$6,199,943,622.36","$15.56"
2023/06/18,1,"Bitcoin","BTC","$511,079,706,782.86","$26,336.21"
2023/06/18,2,"Ethereum","ETH","$206,832,112,414.08","$1,720.58"
2023/06/18,3,"Tether","USDT","$83,157,915,195.95","$0.9998"
2023/06/18,4,"BNB","BNB","$38,041,814,289.92","$244.09"
2023/06/18,5,"USD Coin","USDC","$28,344,923,554.22","$1.0000"
2023/06/18,6,"XRP","XRP","$25,347,462,927.74","$0.4876"
2023/06/18,7,"Cardano","ADA","$9,113,534,848.85","$0.261"
2023/06/18,8,"Dogecoin","DOGE","$8,692,397,740.73","$0.06217"
2023/06/18,9,"TRON","TRX","$6,313,729,413.61","$0.07012"
2023/06/18,10,"Solana","SOL","$6,165,531,218.89","$15.44"
2023/06/25,1,"Bitcoin","BTC","$592,950,420,929.97","$30,480.26"
2023/06/25,2,"Ethereum","ETH","$228,350,499,455.65","$1,900.51"
2023/06/25,3,"Tether USDt","USDT","$83,572,271,591.82","$1.0005"
2023/06/25,4,"BNB","BNB","$36,754,477,305.58","$238.89"
2023/06/25,5,"USD Coin","USDC","$26,159,473,780.46","$1.0001"
2023/06/25,6,"XRP","XRP","$25,880,413,865.25","$0.4903"
2023/06/25,7,"Cardano","ADA","$10,239,539,015.59","$0.2923"
2023/06/25,8,"Dogecoin","DOGE","$9,383,005,780.31","$0.06676"
2023/06/25,9,"Solana","SOL","$6,887,826,940.05","$16.97"
2023/06/25,10,"TRON","TRX","$6,552,160,613.12","$0.0732"
2023/07/02,1,"Bitcoin","BTC","$594,601,955,892.82","$30,620.77"
2023/07/02,2,"Ethereum","ETH","$232,916,432,171.50","$1,937.44"
2023/07/02,3,"Tether","USDT","$83,348,827,222.40","$1.0001"
2023/07/02,4,"BNB","BNB","$38,379,537,599.77","$246.26"
2023/07/02,5,"USD Coin","USDC","$27,397,505,928.90","$1.0001"
2023/07/02,6,"XRP","XRP","$25,316,849,467.23","$0.4845"
2023/07/02,7,"Cardano","ADA","$10,207,186,400.62","$0.2921"
2023/07/02,8,"Dogecoin","DOGE","$9,526,111,339.95","$0.06804"
2023/07/02,9,"Litecoin","LTC","$8,296,138,882.11","$113.22"
2023/07/02,10,"Solana","SOL","$7,798,827,845.66","$19.45"
2023/07/09,1,"Bitcoin","BTC","$586,079,772,336.97","$30,171.23"
2023/07/09,2,"Ethereum","ETH","$223,949,968,247.09","$1,863.01"
2023/07/09,3,"Tether","USDT","$83,377,690,854.49","$1.0002"
2023/07/09,4,"BNB","BNB","$36,504,451,694.05","$234.23"
2023/07/09,5,"USD Coin","USDC","$27,502,801,104.35","$1.0001"
2023/07/09,6,"XRP","XRP","$24,483,751,871.29","$0.4686"
2023/07/09,7,"Cardano","ADA","$9,951,076,090.56","$0.2846"
2023/07/09,8,"Dogecoin","DOGE","$9,167,900,895.98","$0.06543"
2023/07/09,9,"Solana","SOL","$8,592,737,596.61","$21.35"
2023/07/09,10,"Litecoin","LTC","$6,979,093,222.57","$95.18"
2023/07/16,1,"Bitcoin","BTC","$587,778,068,681.35","$30,249.13"
2023/07/16,2,"Ethereum","ETH","$231,226,923,280.79","$1,923.68"
2023/07/16,3,"Tether","USDT","$83,689,168,487.14","$1.0006"
2023/07/16,4,"XRP","XRP","$39,243,100,873.90","$0.7469"
2023/07/16,5,"BNB","BNB","$37,817,749,645.99","$242.66"
2023/07/16,6,"USD Coin","USDC","$27,284,675,187.31","$1.0002"
2023/07/16,7,"Solana","SOL","$11,027,115,845.22","$27.38"
2023/07/16,8,"Cardano","ADA","$11,013,513,296.07","$0.3149"
2023/07/16,9,"Dogecoin","DOGE","$9,751,541,710.22","$0.06955"
2023/07/16,10,"TRON","TRX","$7,165,125,468.61","$0.07982"
2023/07/23,1,"Bitcoin","BTC","$584,762,966,697.83","$30,084.54"
2023/07/23,2,"Ethereum","ETH","$227,069,518,772.28","$1,889.19"
2023/07/23,3,"Tether","USDT","$83,787,569,913.65","$0.9999"
2023/07/23,4,"XRP","XRP","$38,813,403,047.87","$0.7387"
2023/07/23,5,"BNB","BNB","$37,303,420,951.91","$242.46"
2023/07/23,6,"USD Coin","USDC","$26,850,411,665.91","$0.9999"
2023/07/23,7,"Cardano","ADA","$11,099,042,359.87","$0.3172"
2023/07/23,8,"Dogecoin","DOGE","$10,075,943,268.31","$0.07182"
2023/07/23,9,"Solana","SOL","$10,009,227,205.02","$24.77"
2023/07/23,10,"TRON","TRX","$7,477,256,803.73","$0.08336"
2023/07/30,1,"Bitcoin","BTC","$569,216,997,017.28","$29,275.31"
2023/07/30,2,"Ethereum","ETH","$225,274,024,718.29","$1,861.64"
2023/07/30,3,"Tether USDt","USDT","$83,815,697,454.94","$0.9999"
2023/07/30,4,"BNB","BNB","$37,313,939,994.05","$242.53"
2023/07/30,5,"XRP","XRP","$37,156,333,802.54","$0.7051"
2023/07/30,6,"USD Coin","USDC","$26,544,894,268.81","$1.0000"
2023/07/30,7,"Cardano","ADA","$11,049,463,778.91","$0.3156"
2023/07/30,8,"Dogecoin","DOGE","$10,959,076,373.03","$0.07806"
2023/07/30,9,"Solana","SOL","$9,810,507,761.12","$24.26"
2023/07/30,10,"TRON","TRX","$7,172,404,391.53","$0.08003"
2023/08/06,1,"Bitcoin","BTC","$564,864,625,278.20","$29,041.86"
2023/08/06,2,"Ethereum","ETH","$219,593,479,527.48","$1,827.46"
2023/08/06,3,"Tether USDt","USDT","$83,766,798,747.70","$0.9984"
2023/08/06,4,"BNB","BNB","$37,355,531,392.32","$242.80"
2023/08/06,5,"XRP","XRP","$32,862,411,390.46","$0.6231"
2023/08/06,6,"USD Coin","USDC","$26,040,633,408.95","$0.9998"
2023/08/06,7,"Dogecoin","DOGE","$10,433,167,188.76","$0.07427"
2023/08/06,8,"Cardano","ADA","$10,229,109,437.43","$0.2921"
2023/08/06,9,"Solana","SOL","$9,392,351,696.13","$23.19"
2023/08/06,10,"TRON","TRX","$6,881,851,198.68","$0.07685"
2023/08/13,1,"Bitcoin","BTC","$569,738,074,810.23","$29,282.91"
2023/08/13,2,"Ethereum","ETH","$220,981,729,947.98","$1,839.28"
